App,id,Category,Rating,Size,Installs,type,Content,Android,inapp,loc,contac_r,contact_w,media_r,media_w,storage_R,storage_w,cam,ad,label
SoloLearn: Learn to Code for Free,238,EDUCATION,4.3,21,"10,000,000+",0,Everyone 10+,5.0 and up,1,1,1,0,1,1,1,1,0,1,1
Kids Learn Languages by Mondly,239,EDUCATION,4.5,76,"5,000,000+",0,Everyone,5.0 and up,1,0,0,0,0,0,0,0,0,0,1
Sago Mini Hat Maker,240,EDUCATION,4.8,7.6,"1,000,000+",0,Teen,4.0.3 and up,0,0,0,0,1,1,1,1,1,0,1
Fuzzy Numbers: Pre-K Number Foundation,241,EDUCATION,4.1,13,"1,000,000+",0,Everyone,4.1 and up,0,0,0,0,0,0,0,0,0,0,1
Toca Life: City,242,EDUCATION,4.9,63,"1,000+",1,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,0,1
Toca Life: Hospital,243,EDUCATION,4.7,44,"1,000+",1,Everyone,4.1 and up,0,0,0,0,1,1,1,1,0,0,1
YouTube Kids,244,ENTERTAINMENT,4,4.5,"1,000,000+",0,Everyone,4.0.3 and up,0,0,1,0,1,1,1,1,0,1,1
TV+,245,ENTERTAINMENT,4.3,11,"10,000,000+",0,Teen,4.1 and up,1,0,1,0,0,0,0,0,0,0,1
Hotstar,246,ENTERTAINMENT,4.6,3.3,"10,000,000+",0,Everyone,4.2 and up,1,1,0,0,1,1,1,1,0,1,1
StarTimes - Live International Champions Cup,247,ENTERTAINMENT,3.8,12,"1,000,000+",0,Everyone,4.0 and up,0,0,0,0,1,1,1,1,0,0,1
MEGOGO - Cinema and TV,248,ENTERTAINMENT,4.3,5.6,"5,000,000+",0,Everyone,2.3.3 and up,1,0,1,0,1,1,1,1,0,1,1
Talking Angela,249,ENTERTAINMENT,4.4,9.7,"1,000,000+",0,Everyone,4.0.3 and up,1,0,0,0,1,1,1,1,1,1,1
DStv Now,250,ENTERTAINMENT,4.4,15,"1,000,000+",0,Mature 17+,4.1 and up,0,0,0,0,1,0,1,0,1,0,1
Radio Javan,251,ENTERTAINMENT,3.7,52,"100,000,000+",0,Everyone,4.1 and up,0,1,0,0,1,1,1,1,0,1,1
Girly Lock Screen Wallpaper with Quotes,252,ENTERTAINMENT,4.4,4.5,"1,000,000+",0,Everyone,4.2 and up,0,0,0,0,0,0,0,0,0,1,1
"Movies by Flixster, with Rotten Tomatoes",253,ENTERTAINMENT,4.2,18,"5,000,000+",0,Everyone,4.1 and up,0,0,0,0,1,1,1,1,0,1,1
Low Poly – Puzzle art game,254,ENTERTAINMENT,4.5,13,"10,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,1,1
BBC Media Player,255,ENTERTAINMENT,4.7,4,"1,000,000+",0,Everyone,4.0.3 and up,0,0,0,0,0,0,0,0,0,0,1
Amazon Prime Video,256,ENTERTAINMENT,4.5,16,"10,000,000+",0,Everyone,4.4 and up,1,1,1,0,1,1,1,1,0,1,1
Adult Glitter Color by Number Book - Sandbox Pages,257,ENTERTAINMENT,4.5,17,"1,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,1,1
Talking Ben the Dog,258,ENTERTAINMENT,4.1,78,"1,000,000+",0,Teen,4.3 and up,1,0,0,0,1,1,1,1,0,1,1
Trailer Addict Movie Trailers,259,ENTERTAINMENT,4.2,25,"50,000,000+",0,Everyone,4.1 and up,0,0,0,0,0,0,0,0,0,1,1
Cinemark Theatres,260,ENTERTAINMENT,4.3,57,"100,000,000+",0,Everyone,4.1 and up,0,1,0,0,1,1,1,1,0,0,1
IMDb Movies & TV,261,ENTERTAINMENT,3.6,8.5,"100,000+",0,Everyone,6.0 and up,0,1,0,0,0,0,0,0,0,1,1
Netflix,262,ENTERTAINMENT,4.3,12,"100,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,1,1
Food Network,263,ENTERTAINMENT,4.3,72,"1,000,000+",0,Everyone,5.0 and up,0,0,0,0,0,0,0,0,0,1,1
Crunchyroll - Everything Anime,264,ENTERTAINMENT,4.2,9.6,"100,000+",0,Teen,4.1 and up,0,0,1,0,1,1,1,1,0,1,1
STARZ,265,ENTERTAINMENT,4.5,13,"1,000,000+",0,Teen,4.1 and up,1,0,0,0,1,1,1,1,0,0,1
HISTORY: Watch TV Show Full Episodes & Specials,266,ENTERTAINMENT,3.8,12,"10,000,000+",0,Teen,4.1 and up,0,0,0,0,0,0,0,0,0,1,1
HISTORY: Watch TV Show Full Episodes & Specials,266,EDUCATION,3.8,12,"10,000,000+",0,Teen,4.1 and up,0,0,0,0,0,0,0,0,0,1,1
HISTORY: Watch TV Show Full Episodes & Specials,266,BOOKS_AND_REFERENCE,3.8,12,"10,000,000+",0,Teen,4.1 and up,0,0,0,0,0,0,0,0,0,1,1
HISTORY: Watch TV Show Full Episodes & Specials,266,BUSINESS,3.8,12,"10,000,000+",0,Teen,4.1 and up,0,0,0,0,0,0,0,0,0,1,1
FOX NOW - On Demand & Live TV,267,ENTERTAINMENT,4.1,20,"1,000,000+",0,Teen,4.4 and up,0,1,0,0,1,1,1,1,0,1,1
A&E - Watch Full Episodes of TV Shows,268,ENTERTAINMENT,4.2,25,"10,000,000+",0,Everyone 10+,4.4 and up,0,1,0,0,1,1,1,1,0,0,1
The CW,269,ENTERTAINMENT,4.1,17,"1,000,000+",0,Teen,4.4 and up,0,0,0,0,0,0,0,0,0,0,1
"Hulu: Stream TV, Movies & more",270,ENTERTAINMENT,4,19,"1,000,000+",0,Teen,4.4 and up,0,1,0,0,1,1,1,1,1,0,1
Univision NOW - Live TV and On Demand,271,ENTERTAINMENT,4.2,19,"1,000,000+",0,Teen,4.4 and up,0,0,1,0,1,1,1,1,0,1,1
WWE,272,ENTERTAINMENT,4.1,17,"5,000,000+",0,Teen,4.1 and up,0,1,1,0,0,0,0,0,0,1,1
Universal Kids,273,ENTERTAINMENT,4.5,20,"10,000,000+",0,Teen,4.1 and up,0,1,0,0,1,1,1,1,0,0,1
MTV,274,ENTERTAINMENT,4,19,"1,000,000+",0,Teen,4.4 and up,0,0,1,0,1,1,1,1,1,1,1
BET NOW - Watch Shows,275,ENTERTAINMENT,3.6,21,"500,000+",0,Everyone,4.4 and up,0,1,0,0,1,1,1,1,1,0,1
LEGO® TV,276,ENTERTAINMENT,3.8,15,"1,000,000+",0,Teen,4.4 and up,0,0,0,0,1,1,1,1,1,0,1
Showtime Anytime,277,ENTERTAINMENT,4.2,19,"1,000,000+",0,Teen,4.4 and up,0,0,0,0,1,1,1,1,0,0,1
PlayKids - Educational cartoons and games for kids,278,ENTERTAINMENT,3.7,7.2,"1,000,000+",0,Everyone 10+,5.0 and up,1,0,0,0,0,0,0,0,0,0,1
FOX,279,ENTERTAINMENT,3.8,32,"10,000,000+",0,Teen,4.1 and up,0,1,0,0,1,1,1,1,0,1,1
Tubi TV - Free Movies & TV,280,ENTERTAINMENT,3.7,44,"10,000,000+",0,Mature 17+,4.4 and up,0,1,0,0,0,0,0,0,0,1,1
Vudu Movies & TV,281,ENTERTAINMENT,3.9,19,"1,000,000+",0,Teen,4.4 and up,1,0,0,0,1,1,1,1,0,0,1
Crunchyroll - Everything Anime,282,ENTERTAINMENT,4.3,11,"10,000,000+",0,Teen,4.1 and up,0,0,1,0,1,1,1,1,0,1,1
Food Network,283,ENTERTAINMENT,4.2,25,"10,000,000+",0,Everyone 10+,4.4 and up,0,0,0,0,0,0,0,0,0,1,1
Viki: Asian TV Dramas & Movies,284,ENTERTAINMENT,4.5,16,"10,000,000+",0,Everyone,4.4 and up,1,0,0,0,1,1,1,1,0,1,1
Redbox,285,ENTERTAINMENT,4.1,20,"1,000,000+",0,Teen,4.4 and up,0,0,0,0,0,0,0,0,0,0,1
Tribeca Shortlist - Handpicked Movies,286,ENTERTAINMENT,4.1,30,"10,000,000+",0,Everyone,5.0 and up,0,0,0,0,0,0,0,0,0,1,1
SHOWTIME,287,ENTERTAINMENT,3.9,57,"100,000+",0,Teen,4.3 and up,0,0,0,0,1,1,1,1,0,0,1
Lifetime - Watch Full Episodes & Original Movies,288,ENTERTAINMENT,4,19,"1,000,000+",0,Teen,4.4 and up,0,1,1,0,1,1,1,1,0,1,1
BET NOW - Watch Shows,289,ENTERTAINMENT,4.1,17,"1,000,000+",0,Teen,4.4 and up,0,1,0,0,1,1,1,1,1,0,1
FOX,290,ENTERTAINMENT,3.8,15,"1,000,000+",0,Teen,4.4 and up,0,1,0,0,1,1,1,1,0,1,1
Telemundo Now,291,ENTERTAINMENT,4,19,"1,000,000+",0,Teen,4.4 and up,0,1,0,0,1,1,1,1,0,1,1
Nick Jr. - Shows & Games,292,ENTERTAINMENT,3.9,19,"1,000,000+",0,Teen,4.4 and up,1,0,0,0,0,0,0,0,0,0,1
Sticker Market: Emoji keyboard,293,ENTERTAINMENT,4.2,19,"1,000,000+",0,Teen,4.4 and up,1,1,1,1,1,1,1,1,1,1,1
Viki: Asian TV Dramas & Movies,294,ENTERTAINMENT,3.7,44,"10,000,000+",0,Mature 17+,4.4 and up,1,0,0,0,1,1,1,1,0,1,1
Kidjo TV Kids Have Fun & Learn,295,ENTERTAINMENT,3.9,19,"1,000,000+",0,Teen,4.4 and up,1,0,0,0,1,1,1,1,0,0,1
Laugh Out Loud by Kevin Hart,296,ENTERTAINMENT,4.2,35,"1,000,000+",0,Everyone,4.4 and up,1,0,0,0,1,1,1,1,0,1,1
Fandango Movies - Times + Tickets,297,ENTERTAINMENT,4.3,44,"10,000+",0,Teen,4.2 and up,0,1,1,0,1,1,1,1,1,0,1
Hamilton — The Official App,298,ENTERTAINMENT,4.3,20,"100,000+",0,Teen,6.0 and up,1,1,0,0,1,1,1,1,1,1,1
My Talking Pet,299,ENTERTAINMENT,4.6,19,"5,000,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,1,0,1
Funny Quotes Free,300,ENTERTAINMENT,4.2,25,"10,000,000+",0,Everyone 10+,4.4 and up,0,0,0,0,1,1,1,1,0,1,1
"Imgur: Find funny GIFs, memes & watch viral videos",301,ENTERTAINMENT,4.5,43,"100,000+",0,Everyone,5.0 and up,0,0,1,0,1,1,1,1,1,1,1
Meme Generator,302,ENTERTAINMENT,4.2,3.6,"1,000,000+",0,Teen,4.0 and up,0,0,0,0,1,1,1,1,0,1,1
SketchBook - draw and paint,303,ENTERTAINMENT,4.4,7.7,"1,000,000+",0,Teen,2.3.3 and up,0,0,0,0,1,1,1,1,1,0,1
Colorfy: Coloring Book for Adults - Free,304,ENTERTAINMENT,4.2,44,"1,000,000+",0,Mature 17+,2.3 and up,1,1,1,0,1,1,1,1,1,1,1
ROBLOX,305,ENTERTAINMENT,4.3,12,"10,000,000+",0,Teen,5.0 and up,1,0,1,0,0,0,0,0,0,1,1
Subway Surfers,306,ENTERTAINMENT,4.6,53,"100,000+",1,Mature 17+,4.1 and up,1,0,0,0,1,1,1,1,0,1,1
Solitaire,307,ENTERTAINMENT,4.3,77,"10,000,000+",0,Everyone,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
Bubble Shooter,308,GAME,4.5,67,"100,000,000+",0,Everyone 10+,4.1 and up,1,0,0,0,0,0,0,0,0,1,1
Hello Kitty Nail Salon,309,GAME,4.5,76,"1,000,000,000+",0,Everyone 10+,4.1 and up,1,0,0,0,1,1,1,1,1,1,1
slither.io,310,GAME,4.4,74,"500,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,1,1
Clash Royale,311,GAME,4.7,23,"10,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,0,1
Temple Run 2,312,GAME,4.5,46,"10,000,000+",0,Everyone,4.0.3 and up,1,0,0,0,0,1,1,1,0,1,1
Helix Jump,313,GAME,4.2,24,"50,000,000+",0,Everyone,4.1 and up,1,0,0,0,0,0,0,0,0,1,1
Block Puzzle,314,GAME,4.6,97,"100,000,000+",0,Everyone 10+,4.1 and up,0,1,0,0,1,1,1,1,0,1,1
Angry Birds Rio,315,GAME,4.3,62,"500,000,000+",0,Everyone,4.0 and up,1,0,1,0,0,0,0,0,0,1,1
Plants vs. Zombies FREE,316,GAME,4.3,24,"500,000,000+",0,Everyone,4.0 and up,1,0,1,0,1,1,1,1,0,1,1
Sonic Dash,317,GAME,4.2,33,"100,000,000+",0,Everyone,4.1 and up,1,0,0,0,0,0,0,0,0,1,1
Candy Crush Soda Saga,318,GAME,4.6,7.8,"5,000,000+",0,Everyone,2.3 and up,1,0,0,0,0,0,0,0,0,0,1
Zombie Hunter King,319,GAME,4.4,46,"100,000,000+",0,Everyone,4.1 and up,0,0,0,0,0,0,0,0,0,1,1
Clash of Clans,320,GAME,4.4,69,"100,000,000+",0,Everyone 10+,4.1 and up,1,0,0,0,1,1,1,1,0,0,1
Kick the Buddy,321,GAME,4.5,75,"100,000,000+",0,Everyone,4.1 and up,1,0,0,0,0,0,0,0,0,1,1
Block Puzzle Classic Legend !,322,GAME,4.4,67,"100,000,000+",0,Everyone,4.1 and up,0,0,0,0,0,0,0,0,0,1,1
PAC-MAN,323,GAME,4.3,50,"1,000,000+",0,Mature 17+,2.3 and up,1,0,0,0,0,0,0,0,0,1,1
8 Ball Pool,324,GAME,4.6,98,"100,000,000+",0,Everyone 10+,4.1 and up,1,0,0,0,0,0,0,0,0,1,1
Magic Tiles 3,325,GAME,4.2,4.9,"5,000,000+",0,Everyone,2.3.3 and up,1,0,0,0,1,1,1,1,0,1,1
Bubble Witch 3 Saga,326,GAME,4.2,37,"100,000,000+",0,Everyone,4.1 and up,1,0,0,0,0,0,0,0,0,0,1
Word Search,327,GAME,4.5,18,"1,000,000+",0,Everyone,4.0 and up,1,0,0,0,1,1,1,1,0,1,1
Angry Birds Classic,328,GAME,4.5,52,"100,000,000+",0,Everyone,4.0.3 and up,1,0,1,0,1,1,1,1,0,1,1
Flow Free,329,GAME,4.7,78,"50,000,000+",0,Everyone,3.0 and up,1,0,0,0,1,1,1,1,0,1,1
Race the Traffic Moto,330,GAME,4.7,3.9,"10,000,000+",0,Everyone,3.0 and up,1,0,0,0,1,1,1,1,0,1,1
Fishdom,331,GAME,4.5,59,"50,000,000+",0,Teen,4.0 and up,1,0,0,0,0,1,1,1,0,1,1
Galaxy Attack: Alien Shooter,332,GAME,4.4,97,"100,000,000+",0,Everyone,4.1 and up,1,0,0,0,0,0,0,0,0,1,1
Zombie Tsunami,333,GAME,4.3,11,"100,000,000+",0,Everyone,4.1 and up,1,1,1,0,1,1,1,1,0,1,1
Gardenscapes,334,GAME,3.8,38,"10,000,000+",0,Teen,4.0.3 and up,1,0,0,0,1,1,1,1,0,1,1
Marble - Temple Quest,335,GAME,4.1,85,"10,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,1,1
Shooting King,336,GAME,4.3,78,"50,000,000+",0,Everyone,4.0 and up,1,0,0,0,0,0,0,0,0,1,1
Minion Rush: Despicable Me Official Game,337,GAME,4.4,63,"100,000,000+",0,Everyone,4.2 and up,1,0,0,0,1,1,1,1,0,1,1
Farm Heroes Saga,338,GAME,4.3,24,"10,000,000+",0,Everyone,4.0.3 and up,1,0,0,0,0,0,0,0,0,0,1
Geometry Dash World,339,GAME,4.4,69,"10,000,000+",0,Everyone 10+,4.0.3 and up,0,0,0,0,1,1,1,1,0,1,1
Cut the Rope FULL FREE,340,GAME,4.7,75,"10,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,1,1
Sniper 3D Gun Shooter: Free Shooting Games - FPS,341,GAME,4.4,70,"100,000,000+",0,Everyone,2.3 and up,1,1,0,0,1,1,1,1,0,1,1
Subway Surfers,342,GAME,4.6,63,"10,000,000+",0,Everyone,4.0 and up,0,0,0,0,0,0,1,1,0,1,1
ROBLOX,343,GAME,4.5,99,"100,000,000+",0,Everyone,4.1 and up,1,0,1,0,0,0,0,0,0,1,1
Clash of Clans,344,GAME,4.5,76,"1,000,000,000+",0,Everyone 10+,4.1 and up,1,0,0,0,1,1,1,1,0,0,1
Candy Crush Saga,345,GAME,4.5,67,"100,000,000+",0,Everyone 10+,4.1 and up,1,0,0,0,0,0,0,0,0,0,1
Plants vs. Zombies FREE,346,GAME,4.3,24,"500,000,000+",0,Everyone,4.0 and up,1,0,0,0,1,1,1,1,0,1,1
Cooking Fever,347,GAME,4.5,52,"100,000,000+",0,Everyone,4.0.3 and up,1,0,0,0,1,1,1,1,0,1,1
Toon Blast,348,GAME,4.6,98,"100,000,000+",0,Everyone 10+,4.1 and up,1,0,0,0,0,0,0,0,0,0,1
Score! Hero,349,GAME,4.4,74,"500,000,000+",0,Everyone,4.1 and up,1,0,0,0,0,0,0,0,0,1,1
Toy Blast,350,GAME,4.7,68,"10,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,0,1
Wordscapes,351,GAME,4.6,96,"100,000,000+",0,Everyone,4.4 and up,1,0,0,0,0,0,0,0,0,0,1
Fishdom,352,GAME,4.5,99,"10,000,000+",0,Everyone,4.4 and up,1,0,0,0,1,1,1,1,0,1,1
Garena Free Fire,353,GAME,4.8,87,"10,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,0,1
Block Puzzle,354,GAME,4.7,3.9,"10,000,000+",0,Everyone,3.0 and up,0,1,0,0,1,1,1,1,0,1,1
Clash Royale,355,GAME,4.4,67,"100,000,000+",0,Everyone,4.1 and up,1,0,0,0,1,1,1,1,0,0,1
My Talking Tom,356,GAME,4.5,53,"100,000,000+",0,Teen,4.0.3 and up,1,0,0,0,1,1,1,1,0,1,1
Granny,357,GAME,4.6,7.8,"5,000,000+",0,Everyone,2.3 and up,1,0,0,0,1,1,1,1,0,1,1
Zombie Catchers,358,GAME,4.6,97,"100,000,000+",0,Everyone 10+,4.1 and up,1,0,0,0,1,1,1,1,0,1,1
Zombie Tsunami,359,GAME,4.4,46,"100,000,000+",0,Everyone,4.1 and up,1,1,1,0,1,1,1,1,0,1,1
Jungle Marble Blast,360,GAME,4.7,75,"10,000,000+",0,Everyone,4.1 and up,1,1,1,0,1,1,1,1,0,1,1
Rider,361,GAME,4.3,50,"1,000,000+",0,Mature 17+,2.3 and up,1,0,0,0,1,1,1,1,0,1,1
